FOLIO,ENT,FAC_ELE,EST_DIS,UPM_DIS,PB1_01,PB1_02,PB2_1,PB2_2,PC3_1,PC3_2,PC3_3,PC3_4,PC3_5,PC3_6,PC3_7,PC3_8,PG1_2,PG1_3,PG1_4,PG1_5,PG1_6,PG1_7,PG1_8,PG2,PG3_1,PG3_2,PG3_3,PG3_4
00001,01,1458,002,0000001,10,10,1,0,1,1,3,2,5,5,1,3,0,0,0,0,0,0,0,7,0,0,1,1
00002,01,353,002,0000001,3,5,1,1,1,1,1,1,1,3,1,1,0,0,0,0,0,0,0,3,0,0,0,0
00003,01,353,002,0000001,1,9,1,1,1,1,3,4,2,5,1,3,0,0,0,0,0,0,0,6,0,0,0,0
00004,01,657,002,0000002,5,5,1,0,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0
00005,01,985,002,0000002,8,8,1,0,1,1,1,1,1,5,1,3,0,0,0,0,0,0,0,2,1,0,0,0
00006,01,657,002,0000002,5,8,0,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0
00007,01,1018,002,0000002,8,9,1,1,2,1,2,4,2,4,1,5,0,0,0,0,0,0,0,7,1,0,0,1
00008,01,905,003,0000003,5,10,1,1,1,1,2,2,4,5,3,5,0,0,0,0,0,0,0,3,1,0,0,0
00009,01,876,003,0000003,8,10,1,0,1,2,1,4,1,4,4,1,0,0,0,0,0,0,0,3,1,0,0,0
00010,01,1314,003,0000003,8,6,1,0,1,1,1,1,1,4,1,1,0,0,0,0,0,0,0,4,0,0,0,0
00011,01,876,003,0000003,0,6,1,1,1,1,1,1,1,4,1,1,0,0,0,0,0,0,0,7,0,0,0,0
00012,01,452,003,0000003,7,9,1,1,1,1,1,1,2,4,1,3,0,0,0,0,0,0,0,7,1,0,0,0
00013,01,647,001,0000004,0,3,1,1,3,2,2,5,5,5,4,2,0,0,0,0,0,0,0,7,1,0,0,0
00014,01,627,001,0000004,5,6,1,1,1,1,1,1,3,5,1,3,0,0,0,0,0,0,0,3,1,1,0,0
00015,01,647,001,0000004,2,9,1,1,3,1,3,4,5,5,4,3,0,0,0,0,0,0,0,4,1,1,0,1
00016,01,1295,001,0000004,6,8,1,0,1,1,1,1,1,5,1,1,0,0,0,0,0,0,0,3,0,0,0,0
00017,01,344,001,0000005,6,8,0,1,1,3,1,1,1,3,1,2,0,0,0,0,0,0,0,1,1,0,0,0
00018,01,1033,001,0000005,10,10,1,1,1,1,1,1,1,5,1,1,0,0,0,0,0,0,0,4,1,0,0,0
00019,01,688,001,0000005,8,9,1,1,2,3,1,1,4,4,1,1,0,1,0,0,0,1,0,7,1,1,0,0
00020,01,1011,001,0000006,8,10,1,0,1,1,1,1,1,5,3,1,0,0,0,0,0,0,0,2,0,0,0,0
00021,01,674,001,0000006,6,8,1,0,1,1,1,1,1,3,1,1,0,0,0,0,0,0,0,4,0,0,0,0
00022,01,1044,001,0000006,6,10,1,0,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,7,0,0,0,0
00023,01,696,001,0000006,8,9,1,1,2,2,1,1,3,4,3,3,0,0,0,0,0,0,0,6,1,0,0,1
00024,01,1051,002,0000007,6,10,1,1,1,1,1,1,1,3,1,1,0,0,0,0,0,0,0,7,0,0,0,0
00025,01,1086,002,0000007,8,10,1,1,1,1,5,2,4,5,1,5,0,0,0,0,0,0,0,3,1,0,0,0
00026,01,2453,002,0000007,5,7,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,7,0,0,0,1
00027,01,609,001,0000008,0,8,1,1,2,1,1,2,3,1,1,2,0,0,0,0,0,0,0,7,0,0,0,0
00028,01,913,001,0000008,5,9,1,1,3,4,5,4,3,5,3,1,0,0,0,0,0,0,0,2,1,0,0,0
00029,01,590,001,0000008,2,8,1,0,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,5,0,0,0,0
00030,01,618,001,0000009,1,3,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
00031,01,299,001,0000009,5,9,0,0,1,1,1,1,1,3,1,2,0,0,0,0,0,0,0,5,1,0,0,0
00032,01,897,001,0000009,1,6,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,6,1,0,0,0
00033,01,618,001,0000009,7,8,1,1,1,2,1,3,4,4,3,2,0,0,0,0,0,0,0,2,0,0,0,0
00034,01,692,002,0000010,2,2,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
00035,01,346,002,0000010,9,10,1,1,1,1,3,1,1,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0
00036,01,1730,002,0000010,7,8,1,0,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,7,1,1,0,0
00037,01,335,002,0000010,5,9,1,1,2,1,1,4,1,1,1,4,0,0,0,0,0,0,0,7,0,0,0,0
00038,01,1384,002,0000010,10,10,1,1,1,3,1,1,2,3,1,3,0,0,0,1,0,0,0,1,1,0,0,0
00039,01,931,002,0000011,5,7,0,0,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,7,0,0,0,0
00040,01,1241,002,0000011,4,6,1,1,5,2,1,1,2,3,2,2,0,0,0,0,0,0,0,3,1,1,0,0
00041,01,931,002,0000011,7,7,1,0,2,1,1,1,2,4,1,1,0,0,0,0,0,1,0,7,1,0,0,0
00042,01,300,002,0000011,8,9,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
00043,01,901,002,0000011,0,7,1,0,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0
00044,01,587,002,0000012,3,6,1,1,3,1,1,2,1,5,1,2,0,0,0,0,0,0,0,1,1,0,0,0
00045,01,880,002,0000012,6,7,1,0,2,4,3,3,2,3,2,2,0,0,0,0,0,0,0,3,1,1,0,1
00046,01,1137,002,0000012,8,9,1,1,1,2,3,1,5,5,3,3,0,0,0,0,0,1,0,7,1,1,0,1
00047,01,284,002,0000012,6,7,1,1,1,1,3,2,3,4,4,3,0,0,0,0,0,0,0,2,1,0,0,0
00048,01,801,002,0000013,8,7,1,1,1,1,1,1,1,3,1,2,0,0,0,0,0,0,0,4,1,0,0,0
00049,01,2482,002,0000013,8,10,1,1,1,5,1,1,1,5,1,4,0,0,0,0,0,0,0,6,1,0,0,0
00050,01,801,002,0000013,6,4,1,1,5,1,1,3,1,2,1,5,0,0,0,0,0,0,0,7,1,0,0,0
00051,01,676,002,0000014,0,5,1,1,1,1,1,1,1,4,1,1,0,0,0,0,0,0,0,7,1,0,0,0
00052,01,698,002,0000014,5,9,1,1,2,1,2,2,3,4,1,2,0,0,0,0,0,0,0,5,1,1,0,1
00053,01,1351,002,0000014,9,10,1,1,1,1,5,2,1,3,1,5,0,0,0,0,0,0,0,3,1,1,0,1
00054,01,698,002,0000014,5,8,1,1,1,4,1,1,1,4,1,4,0,0,0,1,0,0,0,5,0,0,0,0
00055,01,1476,002,0000015,4,7,1,1,1,3,2,4,2,4,3,2,0,0,0,0,1,0,0,7,1,0,0,0
00056,01,714,002,0000015,8,10,1,1,1,1,1,2,1,4,1,1,0,0,0,0,0,0,0,7,0,0,0,0
00057,01,738,002,0000015,5,8,1,0,4,3,3,4,5,5,1,3,0,0,0,0,1,0,0,7,1,1,1,0
00058,01,2951,002,0000015,8,10,1,1,1,1,3,3,5,5,3,3,0,0,0,0,0,1,0,7,1,1,0,0
00059,01,714,002,0000015,5,8,1,1,1,1,1,1,3,4,4,4,1,0,0,0,0,0,0,4,0,0,0,0
00060,01,332,002,0000016,8,8,1,1,1,1,1,1,1,3,2,1,0,0,0,0,0,0,0,7,1,1,0,1
00061,01,1372,002,0000016,8,10,1,1,1,5,5,5,5,5,5,3,0,0,0,0,0,0,0,7,1,1,1,1
00062,01,664,002,0000016,9,10,1,1,1,5,3,1,3,3,1,3,0,0,0,0,0,1,0,4,1,1,0,1
00063,01,485,002,0000017,7,7,1,0,1,1,4,4,1,3,4,3,0,0,0,0,0,0,0,6,0,0,0,0
00064,01,704,002,0000017,5,9,1,1,1,1,1,1,2,2,1,2,0,0,0,0,0,0,0,1,1,0,0,0
00065,01,242,002,0000017,9,9,1,0,5,5,3,5,5,5,1,1,0,0,0,0,0,0,0,3,0,0,0,0
00066,01,772,002,0000018,7,9,1,1,1,1,2,3,1,2,2,1,1,0,0,0,0,0,0,7,1,0,0,0
00067,01,772,002,0000018,7,9,1,1,1,1,3,1,5,5,2,2,0,0,0,0,0,0,0,3,1,0,0,0
00068,01,399,002,0000018,0,10,1,1,2,1,1,1,1,4,1,1,0,0,0,0,0,0,0,7,0,0,0,0
