"","CVE_ENT","FAC_SEL","dona_sangre_ef","dona_alimen_ef","aux_desconocido_ef","dona_org_social_ef","p_sindicato_ef","p_gpo_estud_ef","p_asoc_prof_ef","p_org_reli_ef","p_org_depor_ef","p_org_cultura_ef","p_asoc_padres_ef","p_voluntariado_ef","p_org_dh_ef","p_org_ambient_ef","p_org_vecinal_ef"
"1","01",1651,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","01",1651,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0
"3","01",1651,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"4","01",1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","01",4122,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"6","01",3092,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"7","01",4122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","01",1031,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1
"9","01",1859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","01",2788,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"11","01",1859,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"12","01",929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","01",2788,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"14","01",1767,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"15","01",2650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","01",4416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","01",883,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"18","01",1561,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"19","01",3122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","01",1561,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"21","01",780,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"22","01",792,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"23","01",1584,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0
"24","01",3959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"25","01",2375,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
"26","01",792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","01",1721,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"28","01",860,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"29","01",2581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","01",3626,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","01",906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","01",906,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"33","01",5414,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"34","01",1805,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"35","01",1805,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"36","01",3694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","01",7387,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"38","01",3694,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
"39","01",1932,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"40","01",1932,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"41","01",1932,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","01",1932,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"43","01",2790,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"44","01",2790,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"45","01",930,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","01",883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","01",3532,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1
"48","01",2649,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"49","01",3532,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"50","01",1766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","01",3754,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","01",2815,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"53","01",3754,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
"54","01",3754,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
"55","01",1960,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"56","01",2940,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"57","01",980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","01",2940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","01",980,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"60","01",2753,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","01",2753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","01",1835,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"63","01",918,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"64","01",1756,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1
"65","01",6146,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"66","01",1756,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","01",4390,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0
"68","01",1756,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"69","01",1892,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"70","01",3783,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"71","01",1892,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"72","01",2837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","01",2940,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"74","01",1960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","01",2630,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1
"76","01",3506,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"77","01",2630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","01",1753,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
