ID_PER,FAC_SEL,CVE_ENT,d_dona_sangre,d_dona_alimen,d_aux_desconocido,d_dona_org_social,p_sindicato,p_gpo_estud,p_part_pol,p_org_reli,p_org_depor,p_org_cultura,p_asoc_padres,p_voluntariado,p_org_dh,p_org_ambient,p_org_vecinal,p_org_exig_gob,es_vinculo,conoce_vinculo,p_volun,reun_relig,reun_fiestas,reun_prob_pub,reun_vigil,reun_exig_aut,reun_conviv,reun_otro
0100028.05.02,1651,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,3,
0100054.02.03,4122,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,4,4,4,
0100054.05.01,1031,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,4,4,2,2,2,4,3
0100175.05.02,2788,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,4,4,4,4,
0100186.01.01,1767,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,3,2,3,3,3,4,
0100315.05.01,906,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,3,4,4,2,
0100352.05.02,1805,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,2,4,3,3,4,4,
0100387.05.02,3694,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4,4,3,2,3,2,
0100440.02.01,2790,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,
0100469.04.02,3754,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,,,,2,,,
0100483.02.02,2940,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,4,4,4,
0100537.01.01,1756,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,3,4,3,3,4,4,
0100537.02.06,6146,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,1,4,4,3,2,
0100537.04.04,4390,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,2,2,3,3,3,3,
0100595.02.04,3783,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,3,2,3,2,
0100608.05.02,1960,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,2,3,3,
0100657.01.01,2630,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,3,4,3,3,3,3,
0100657.05.01,1753,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,4,2,4,4,4,
0100662.01.02,1950,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,4,3,3,3,3,3,
0100662.04.04,4875,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,2,2,1,1,2,3,
0100732.04.02,1853,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,2,2,
0100732.05.02,1853,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,4,4,
0100739.01.03,3547,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,2,2,1,1,1,3,
0100739.02.02,2661,1,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,2,3,2,3,2,3,
0100739.03.01,3547,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,2,2,
0100746.02.02,2655,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,3,3,3,3,3,
0100828.01.02,4771,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,3,3,,,4,4,
0100828.03.03,2863,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,
0101025.01.01,941,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,3,4,
0101025.03.03,2822,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,4,4,4,4,
0101044.02.01,3818,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,3,4,4,4,4,4,
0101080.03.03,3868,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,3,2,2,2,3,3,
0101080.04.02,3868,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,3,
0101086.05.04,4000,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,3,3,4,4,
0101133.01.02,2085,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,3,3,4,3,3,4,
0101133.02.01,2085,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,3,2,2,2,2,
0101171.02.01,969,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,
0101171.04.03,2906,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,
0101171.05.01,1938,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,,4,4,
0101207.02.01,3673,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,
0101265.01.01,931,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,4,4,4,4,4,4,
0101265.02.03,2793,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,4,4,,,
0101273.04.01,941,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,,,,,,,
0101273.05.03,3764,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,
0101347.01.02,3566,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2,2,3,3,4,4,
0101365.01.02,1947,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,
0101369.01.01,1874,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,3,2,3,3,
0101369.03.03,2811,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,4,4,4,4,4,4,
