ID_PER,ap_reun_aut,ap_firma_pet,ap_resol_prob,ap_rec_part_pol,ap_protest,ap_toma_carr,ap_pinta,ap_busca_apoyo_osc,ap_acudir_medios,ap_presion_rs,ap_huelga
0100028.05.02,2,2,2,2,2,2,2,2,2,2,2
0100054.02.03,2,1,2,2,2,2,2,2,2,1,2
0100054.05.01,2,1,1,1,1,1,2,1,2,2,1
0100175.05.02,2,2,2,2,2,2,2,2,2,2,2
0100186.01.01,1,1,1,1,2,2,2,2,2,1,2
0100315.05.01,1,2,2,2,2,2,2,2,2,2,2
0100352.05.02,2,1,2,2,2,2,2,2,2,2,2
0100387.05.02,2,1,2,2,2,2,2,2,2,2,2
0100440.02.01,2,2,2,2,2,2,2,2,2,2,2
0100469.04.02,2,2,2,2,2,2,2,2,2,2,2
0100483.02.02,2,2,2,2,2,2,2,2,2,2,2
0100537.01.01,2,2,1,2,1,2,2,2,2,1,2
0100537.02.06,2,2,2,2,2,2,2,2,2,2,2
0100537.04.04,1,1,1,1,1,1,2,2,2,2,2
0100595.02.04,2,2,2,2,1,2,2,2,2,2,2
0100608.05.02,1,2,2,2,2,2,2,2,2,2,2
0100657.01.01,2,2,2,2,2,2,2,2,2,2,2
0100657.05.01,1,2,2,2,2,2,1,1,2,2,2
0100662.01.02,2,2,2,2,2,2,2,2,2,2,2
0100662.04.04,2,2,2,2,2,2,2,2,2,2,2
0100732.04.02,1,1,1,1,2,2,2,2,2,2,2
0100732.05.02,2,2,2,2,2,2,2,2,2,2,2
0100739.01.03,2,2,2,2,1,2,2,2,2,2,2
0100739.02.02,2,2,2,2,2,2,2,2,2,2,2
0100739.03.01,2,1,2,2,2,2,2,2,2,2,2
0100746.02.02,2,1,2,2,2,2,2,2,2,1,1
0100828.01.02,2,1,1,1,2,2,2,1,2,2,2
0100828.03.03,2,2,2,2,2,2,2,2,2,2,2
0101025.01.01,2,2,2,2,2,2,2,2,2,2,2
0101025.03.03,2,2,2,2,2,2,2,2,2,2,2
0101044.02.01,1,1,2,2,1,2,2,1,2,2,1
0101080.03.03,2,2,1,2,2,2,2,2,2,2,2
0101080.04.02,2,2,2,2,2,2,2,2,2,2,2
0101086.05.04,2,2,2,2,2,2,2,2,2,2,2
0101133.01.02,2,2,2,2,2,2,2,2,2,2,2
0101133.02.01,2,2,2,2,2,2,2,2,2,2,2
0101171.02.01,1,1,1,1,1,2,2,1,1,1,2
0101171.04.03,2,2,2,2,2,2,2,2,2,2,2
0101171.05.01,2,2,1,2,2,2,2,2,2,2,2
0101207.02.01,2,2,2,2,2,2,2,2,2,2,2
0101265.01.01,1,1,1,2,1,2,2,2,2,2,1
0101265.02.03,2,2,2,2,2,2,2,2,2,2,2
0101273.04.01,1,1,1,1,2,2,2,1,2,2,2
0101273.05.03,2,1,1,2,2,2,2,1,2,2,2
0101347.01.02,2,2,2,2,2,2,2,2,2,1,2
0101365.01.02,2,2,2,2,2,2,2,2,2,2,2
0101369.01.01,2,2,2,2,2,2,2,2,2,2,2
0101369.03.03,2,2,2,2,2,2,2,2,2,2,2
0101374.03.02,2,1,2,1,2,2,2,2,2,2,2
0101375.01.02,2,2,2,2,2,2,2,2,2,2,2
0101375.02.02,2,2,2,2,2,2,2,2,2,2,2
0101375.03.01,2,2,2,2,2,2,2,2,2,2,2
0101375.04.01,2,2,2,2,2,2,2,2,2,2,2
0101440.02.02,2,1,2,1,2,2,2,1,2,2,2
0101546.04.02,2,2,1,1,2,2,2,1,2,2,2
0101563.02.02,2,2,2,2,2,2,2,2,2,2,2
0101777.03.01,2,2,2,2,2,2,2,2,2,2,2
0101777.04.01,2,2,2,2,2,2,2,2,2,2,2
0101804.04.01,2,2,2,2,2,2,2,2,2,2,2
0101831.01.01,1,1,2,1,2,2,1,1,2,2,2
0101831.02.02,2,2,1,2,2,2,2,2,2,2,2
0101876.03.02,2,2,1,2,2,2,2,2,2,9,2
0101876.04.01,2,2,2,2,2,2,2,2,2,2,2
0101889.03.01,2,2,2,2,2,2,2,2,2,2,2
0101941.03.01,2,2,2,2,2,2,2,2,2,2,2
0101941.04.05,2,1,2,2,2,2,2,2,2,2,2
0102016.02.01,2,2,2,2,2,2,2,2,2,2,2
0102016.03.01,1,1,1,1,1,2,2,2,2,2,2
0102016.16.01,1,1,1,1,2,2,2,2,2,2,2
0102053.01.01,2,1,1,1,2,2,2,2,1,2,2
0102053.05.02,2,2,1,2,2,2,2,2,2,1,2
0102060.01.02,2,2,2,2,2,2,2,2,2,2,2
0102143.01.04,2,2,2,1,2,2,2,2,2,2,2
0102143.02.03,2,2,2,1,2,2,2,2,2,2,2
0102143.04.03,2,2,2,2,2,2,2,2,2,2,2
0102143.14.02,2,2,2,2,2,2,2,2,2,2,2
0102143.15.03,1,1,1,1,2,2,2,2,2,1,2
0102143.19.02,1,2,2,2,2,2,2,2,2,2,2
0102209.02.02,2,1,2,2,2,2,2,2,2,2,2
0102209.04.01,2,2,2,2,2,2,2,2,2,2,2
0102331.02.01,1,1,1,1,1,1,2,2,1,2,1
0102331.05.03,2,2,1,2,2,2,2,2,2,2,2
0102331.09.01,1,1,1,1,1,2,1,2,1,1,1
0102331.18.02,2,1,2,1,2,2,2,2,2,2,2
0160027.09.04,2,1,1,1,1,1,2,2,2,2,2
0160027.11.02,1,1,1,2,1,2,2,2,2,2,2
0160073.07.02,2,2,2,2,2,2,2,2,2,2,2
0160073.08.01,2,2,2,2,2,2,2,2,2,2,2
0160073.11.01,2,2,2,2,2,2,2,2,2,2,2
0160073.12.01,2,2,2,2,2,2,2,2,2,2,2
0160073.14.01,2,2,2,2,2,2,2,2,2,2,2
0160073.19.02,2,2,2,2,2,2,2,2,2,2,2
0160114.03.01,1,1,1,2,2,2,2,2,2,2,2
0160114.06.02,2,2,2,2,2,2,2,2,2,1,2
0160114.08.01,2,1,1,2,2,2,2,2,2,2,2
0160114.09.01,1,1,2,2,2,2,2,2,2,1,2
0160114.13.02,2,1,2,2,2,2,2,2,2,2,2
0160114.17.01,1,2,2,2,2,2,2,2,2,2,2
0160114.20.01,2,2,2,2,2,2,2,2,2,2,2
0160148.20.02,1,1,2,2,2,2,1,1,2,2,2
0160196.03.01,2,2,2,2,2,1,2,2,2,2,1
0160196.04.02,2,2,2,2,2,2,2,2,2,2,2
0160196.06.01,2,2,2,2,2,2,2,2,2,2,2
0160196.08.02,2,2,2,2,2,2,2,2,2,2,2
0160196.12.01,2,2,2,2,2,2,2,2,2,1,2
0160196.15.01,2,2,2,2,2,2,2,2,2,2,2
0160196.20.02,2,2,2,2,1,2,2,2,2,1,1
0160206.07.02,2,2,2,2,2,2,2,2,2,2,2
0160206.08.02,2,2,2,2,2,2,2,2,2,2,2
0160206.17.01,2,2,1,2,2,2,2,2,2,2,2
