CVE_ENT,staff_por_empresa
1,6.85858099
2,9.830651523
3,7.35325643
4,5.326661942
5,10.11143547
6,5.304742895
7,2.965780017
8,9.858564315
9,10.04099458
10,5.867682623
11,5.687561332
12,2.91795539
13,3.638237349
14,5.980469683
15,4.047066962
16,3.375964428
17,3.754369596
18,4.164723007
19,11.91144815
20,2.514002446
21,3.749351908
22,8.485164483
23,9.071921256
24,5.675043212
25,5.823021931
26,7.82898481
27,4.192240817
28,7.252973203
30,3.824670237
31,4.594757473
32,4.159140444
